area,habilidade,delta_pp,p_obs,p_esp,z,delta_pp_2024,delta_pp_2025,consistente,n_alunos_item,n_itens
CH,2,-1.73,0.3422,0.3595,-16.4,-1.4,-2.4,sim,206917,3
CH,12,-1.29,0.2491,0.262,-13.4,-2.22,-0.83,sim,206906,3
CH,8,0.11,0.4376,0.4366,0.8,1.7,-1.48,não,137941,2
CH,11,0.15,0.3465,0.3449,1.7,3.06,-2.76,não,275882,4
CH,15,0.41,0.5849,0.5808,3.8,-0.69,2.62,não,206917,3
CH,16,0.58,0.3163,0.3105,5.7,0.22,1.29,sim,206917,3
CH,21,0.76,0.4377,0.4301,8.1,-2.05,3.58,não,275882,4
CH,25,0.9,0.4747,0.4657,8.2,-3.07,2.88,não,206906,3
CH,4,1.04,0.4225,0.4121,11.1,2.71,-0.63,não,275882,4
CH,6,1.13,0.5525,0.5412,8.4,5.67,-3.41,não,137941,2
CH,9,1.14,0.3918,0.3803,8.7,-1.31,3.59,não,137941,2
CH,24,1.4,0.4406,0.4266,12.9,-1.8,3.0,não,206906,3
CH,17,1.44,0.4087,0.3943,11.0,-0.79,3.68,não,137941,2
CH,10,1.45,0.3721,0.3576,13.7,1.77,0.79,sim,206917,3
CH,22,1.79,0.4762,0.4583,16.3,-2.45,3.91,não,206906,3
CH,3,1.88,0.4346,0.4158,20.0,2.31,0.57,sim,275893,4
CH,30,2.18,0.3377,0.3159,17.4,4.1,0.26,sim,137941,2
CH,1,2.24,0.313,0.2907,25.9,1.03,3.44,sim,275882,4
CH,20,2.28,0.46,0.4372,17.1,1.39,3.17,sim,137941,2
CH,23,2.56,0.3628,0.3372,31.8,1.29,3.41,sim,344847,5
CH,26,2.88,0.3588,0.33,32.2,4.48,1.28,sim,275882,4
CH,27,2.99,0.4388,0.4089,27.7,0.03,4.47,sim,206906,3
CH,7,3.02,0.3307,0.3005,34.6,2.73,3.3,sim,275882,4
CH,13,3.75,0.2966,0.2591,31.8,3.69,3.81,sim,137941,2
CH,19,3.94,0.4863,0.4469,36.1,-2.35,7.09,não,206906,3
CH,18,4.18,0.3944,0.3526,32.5,3.9,4.45,sim,137941,2
CH,28,4.24,0.4934,0.451,38.8,7.56,2.58,sim,206906,3
CH,5,4.5,0.4059,0.3609,49.2,5.14,2.57,sim,275893,4
CH,14,4.78,0.4957,0.4478,35.7,5.09,4.48,sim,137941,2
CH,29,5.18,0.4023,0.3505,40.3,4.38,5.97,sim,137941,2
CN,27,-1.59,0.2925,0.3084,-12.4,-2.49,-0.69,sim,129957,2
CN,25,-1.22,0.3455,0.3578,-11.3,4.92,-13.59,não,195146,3
CN,12,-0.82,0.3401,0.3483,-7.6,-0.85,-0.76,sim,195146,3
CN,19,-0.19,0.2624,0.2643,-1.6,5.72,-6.14,não,129957,2
CN,3,1.02,0.2476,0.2374,10.6,0.0,1.54,sim,194725,3
CN,5,1.28,0.2125,0.1997,16.4,4.68,-2.13,não,259896,4
CN,11,1.48,0.3261,0.3113,14.1,1.92,0.6,sim,195146,3
CN,20,1.55,0.2149,0.1993,19.8,2.25,0.86,sim,259914,4
CN,4,1.62,0.4685,0.4523,11.8,-0.92,4.18,não,129957,2
CN,22,1.92,0.3198,0.3006,18.4,0.27,2.74,sim,194725,3
CN,8,2.39,0.2722,0.2483,24.4,3.39,0.37,sim,195146,3
CN,26,2.96,0.2067,0.1771,34.3,3.61,1.65,sim,195146,3
CN,24,3.14,0.3204,0.2891,35.2,1.26,5.03,sim,259499,4
CN,6,3.36,0.3114,0.2778,27.0,4.64,2.07,sim,129957,2
CN,23,3.37,0.3678,0.3341,36.4,4.54,2.2,sim,259914,4
CN,28,3.39,0.4526,0.4187,39.1,6.01,1.63,sim,324682,5
CN,2,3.47,0.2607,0.226,36.6,3.54,3.31,sim,195146,3
CN,30,3.68,0.4106,0.3739,27.4,3.08,4.28,sim,129957,2
CN,18,4.6,0.2599,0.2139,49.6,4.87,4.07,sim,195146,3
CN,13,4.69,0.4271,0.3802,34.8,3.5,5.88,sim,129957,2
CN,15,4.76,0.3372,0.2896,46.3,2.24,9.82,sim,195146,3
CN,1,5.08,0.3493,0.2985,49.0,8.2,3.5,sim,194697,3
